Vehicles,Antennas,Iteration,PathLoss,UnlinkedVehicles,UnusedAntennas
400,20,43,122.763,265,0
400,20,44,122.011,284,0
400,20,45,123.26,257,0
400,20,46,122.957,273,0
400,20,47,123.186,279,0
400,20,48,122.861,271,0
400,20,49,122.624,274,0
400,20,50,123.224,258,0
400,30,1,121.248,241,0
400,30,2,123.598,228,0
400,30,3,122.635,235,0
400,30,4,121.524,204,0
400,30,5,122.616,217,0
400,30,6,123.21,220,0
400,30,7,121.495,248,0
400,30,8,122.846,205,0
400,30,9,123.057,225,1
400,30,10,124.276,230,0
400,30,11,123.643,245,0
400,30,12,121.813,236,1
400,30,13,122.899,226,0
400,30,14,122.964,235,2
400,30,15,122.208,216,0
400,30,16,122.622,245,0
400,30,17,123.29,211,0
400,30,18,122.159,220,0
400,30,19,122.281,239,0
400,30,20,122.379,241,0
400,30,21,123.108,209,0
400,30,22,122.407,224,2
400,30,23,122.741,236,0
400,30,24,121.861,209,2
400,30,25,122.711,241,1
400,30,26,122.066,213,0
400,30,27,122.165,270,1
400,30,28,123.993,230,0
400,30,29,122.572,227,0
400,30,30,121.375,245,2
400,30,31,121.584,231,0
400,30,32,123.397,227,1
400,30,33,122.732,214,0
400,30,34,122.795,227,0
400,30,35,123.696,238,0
400,30,36,122.439,252,1
400,30,37,122.36,225,0
400,30,38,122.09,253,0
400,30,39,121.768,222,0
400,30,40,121.393,229,1
400,30,41,122.566,202,0
400,30,42,123.561,229,1
400,30,43,122.598,221,0
400,30,44,121.518,230,0
400,30,45,121.665,227,1
400,30,46,121.763,234,0
400,30,47,123.06,224,0
400,30,48,123.944,237,0
400,30,49,122.73,220,0
400,30,50,122.003,234,0
400,40,1,122.112,201,2
400,40,2,123.408,172,0
400,40,3,122.527,170,0
400,40,4,121.389,209,3
400,40,5,122.527,173,1
400,40,6,122.048,186,1
400,40,7,121.917,192,1
400,40,8,120.601,171,0
400,40,9,122.389,205,1
400,40,10,119.985,218,3
400,40,11,122.471,180,1
400,40,12,122.34,217,0
400,40,13,121.774,203,0
400,40,14,122.018,196,2
400,40,15,121.796,196,1
400,40,16,122.244,184,1
400,40,17,123.247,198,2
400,40,18,122.402,197,1
400,40,19,121.922,183,0
400,40,20,122.539,174,1
400,40,21,123.265,185,2
400,40,22,122.713,173,0
400,40,23,122.055,189,1
400,40,24,120.825,182,0
400,40,25,122.286,201,1
400,40,26,121.456,206,3
400,40,27,121.875,194,0
400,40,28,123.398,182,0
400,40,29,121.448,186,1
400,40,30,123.804,158,0
400,40,31,121.391,165,1
400,40,32,121.547,176,0
400,40,33,122.192,174,0
400,40,34,121.776,190,0
400,40,35,122.716,198,1
400,40,36,122.182,157,1
400,40,37,122.911,181,2
400,40,38,121.708,188,0
400,40,39,122.352,171,0
400,40,40,122.065,182,0
400,40,41,122.179,194,1
400,40,42,122.055,214,4
400,40,43,122.046,212,2
400,40,44,121.253,197,0
400,40,45,122.008,182,1
400,40,46,122.451,184,1
